image,gt_mannequin,matched_detection,pose_generated,quality_pass_kp_ge_6,standing,sitting,fallen,unknown,bbox_pose_cascade_fallen,classifier_fallen,visible_keypoints_mean,det_ms,pose_ms,total_ms
capture_20260806_112602_608189_jpg.rf.jfm2Aiggnn9D0TBxuhOc.jpg,1,1,1,1,1,0,0,0,0,0,17.0,33.429,33.984,69.046
capture_20260806_112607_805477_jpg.rf.dAl1G2NP5rAv7NxgYMQz.jpg,1,1,1,1,1,0,0,0,1,1,16.0,29.486,36.881,68.07
capture_20260806_112623_703967_jpg.rf.M59OrGIs9EEMr37PqX85.jpg,1,1,1,1,1,0,0,0,0,0,17.0,29.148,32.566,63.363
capture_20260806_112742_735216_jpg.rf.uUCOssLtdy75V5aGsPD1.jpg,1,1,1,1,1,0,0,0,0,0,16.0,30.074,32.771,64.524
capture_20260806_112747_394914_jpg.rf.JyMZYyXM7EZTYcfWbpCC.jpg,1,1,1,1,1,0,0,0,0,0,16.0,29.901,33.426,65.077
capture_20260806_112748_637888_jpg.rf.T8zjs7gZfcDcWrTqRwzx.jpg,1,1,1,1,1,0,0,0,0,0,17.0,30.883,32.382,65.002
capture_20260806_112801_151071_jpg.rf.oE5IZCpOXrW7TFYVMMRM.jpg,1,1,1,1,1,0,0,0,0,0,16.0,29.23,35.706,66.581
capture_20260806_113522_324680_jpg.rf.Hsuh0TCtkWD9A0sy5D72.jpg,1,1,1,1,1,0,0,0,0,0,17.0,34.145,35.361,71.232
capture_20260806_113529_816461_jpg.rf.uha9lJlCtBRmU0XVpTJA.jpg,1,1,1,1,1,0,0,0,0,0,17.0,30.908,36.527,69.11
capture_20260806_113540_788896_jpg.rf.wkl6mOtIlgbv87NM2LA0.jpg,1,1,1,1,1,0,0,0,0,0,17.0,30.557,33.381,65.755
capture_20260806_113547_956249_jpg.rf.CS5hruEAe5NVqOCtz8Tv.jpg,1,1,1,1,1,0,0,0,0,0,17.0,31.621,29.404,62.696
capture_20260806_113611_068031_jpg.rf.g7miOTfSCisALjkuzRVY.jpg,1,1,1,1,1,0,0,0,0,0,17.0,31.333,43.805,76.829
capture_20260806_113620_080237_jpg.rf.sv9sQTPDphQ66cRIcCBF.jpg,1,1,1,1,1,0,0,0,0,0,17.0,34.822,24.958,61.445
capture_20260806_113626_207350_jpg.rf.nLPU7ty9z1AQmzkXMzAz.jpg,1,1,1,1,1,0,0,0,0,0,17.0,29.522,45.489,76.722
capture_20260806_113732_455275_jpg.rf.j7l3mwsndA14hZm3VXJL.jpg,1,1,1,1,1,0,0,0,0,0,17.0,50.166,33.533,85.401
capture_20260806_113738_703154_jpg.rf.gp6JPXISOUVuDEj5WqBH.jpg,1,1,1,1,1,0,0,0,0,0,17.0,33.557,31.805,66.969
capture_20260806_113943_865925_jpg.rf.oAYEb1rAtnl8dP0dpBxr.jpg,1,1,1,1,1,0,0,0,0,0,17.0,34.784,75.729,112.963
capture_20260806_114033_894114_jpg.rf.Ghw56XzR7Grw4JRNSHW3.jpg,1,1,1,1,1,0,0,0,0,0,16.0,29.533,34.497,65.685
capture_20260806_114123_677940_jpg.rf.MkMcGBWTQ3PDwmxZePqc.jpg,1,1,1,1,1,0,0,0,0,0,17.0,39.262,29.162,70.237
capture_20260806_114128_964867_jpg.rf.DsGXbctbH3ssSU4x9rF8.jpg,1,1,1,1,1,0,0,0,0,0,17.0,48.097,52.447,102.56
capture_20260806_114135_653676_jpg.rf.pSRDyW8juyR4N7pPxmWV.jpg,1,1,1,1,1,0,0,0,0,0,17.0,32.502,25.173,59.353
capture_20260806_114141_980381_jpg.rf.7afPctJEfVlvwRcXiH8y.jpg,1,1,1,1,1,0,0,0,0,0,17.0,34.995,26.622,63.261
capture_20260806_114149_068556_jpg.rf.a8aE0kstQWdG58KcmhmG.jpg,1,1,1,1,1,0,0,0,0,0,17.0,34.862,30.379,66.942
fallen_person_20260805_202644_702233_jpg.rf.SGYmGDQKrWM7Lvrr6e6x.jpg,1,1,1,1,0,0,1,0,1,1,15.0,31.64,47.466,80.698
fallen_person_20260805_202645_984124_jpg.rf.Zdekvh0c2TY40zkT94mb.jpg,1,1,1,1,0,0,1,0,1,1,15.0,30.288,42.769,74.722
fallen_person_20260805_202702_524018_jpg.rf.FhMZWm9gAWCA9Nv6Dvhu.jpg,1,1,1,1,1,0,0,0,1,1,17.0,29.384,56.989,88.038
fallen_person_20260805_202711_375785_jpg.rf.9YRDFJ1i4vjMmn5rdjb7.jpg,1,1,1,1,0,0,1,0,1,1,15.0,29.242,41.088,71.977
fallen_person_20260805_202721_871806_jpg.rf.UowQLhfcbX4fPUTwP9PW.jpg,1,1,1,1,1,0,0,0,1,1,17.0,32.385,67.168,101.314
fallen_person_20260805_202725_475163_jpg.rf.pGenkQM0ZfOcyHn1D1gA.jpg,1,1,1,1,1,0,0,0,1,1,14.0,43.622,42.406,87.691
fallen_person_20260805_202729_038714_jpg.rf.Uygoh1XHP2jcZaL9jBg0.jpg,1,1,1,1,0,1,0,0,1,1,13.0,28.123,49.04,79.017
fallen_person_20260805_203110_804714_jpg.rf.SyubKMEsm9UvfG8cR0Hm.jpg,1,1,0,0,0,0,0,0,1,1,0.0,33.098,29.754,64.06
fallen_person_20260805_203113_369440_jpg.rf.KdbpBzzMiS0d1YbIuVEK.jpg,1,1,1,1,0,0,1,0,1,1,16.0,30.122,56.876,88.671
fallen_person_20260805_203116_892528_jpg.rf.D7sKur9Iprp57KknL6sC.jpg,1,1,1,1,0,0,1,0,1,1,12.0,29.665,31.89,63.143
fallen_person_20260805_203211_765005_jpg.rf.JeD9ja6t0qBNWdvKSmaI.jpg,1,1,0,0,0,0,0,0,1,1,0.0,29.766,30.181,61.147
fallen_person_20260805_203214_605884_jpg.rf.waWzc2IpUmYlU6xhUWLa.jpg,1,1,1,1,1,0,0,0,1,1,17.0,42.222,37.732,81.61
fallen_person_20260805_203217_250923_jpg.rf.20LwgQmsszdhxd65GYKY.jpg,1,1,0,0,0,0,0,0,1,1,0.0,29.51,37.684,68.403
fallen_person_20260805_203319_010410_jpg.rf.cz9smHd3aX6vtDOFjCNx.jpg,1,1,0,0,0,0,0,0,1,1,0.0,35.431,45.506,82.134
fallen_person_20260805_203418_483669_jpg.rf.wGaESdRvNq4gCwAhCMQA.jpg,1,1,0,0,0,0,0,0,1,1,0.0,30.955,42.584,74.785
fallen_person_20260805_203532_302424_jpg.rf.oln3J34UsnLnyTpKBwZb.jpg,1,1,0,0,0,0,0,0,1,1,0.0,33.42,44.15,78.826
fallen_person_20260805_203535_386206_jpg.rf.WYcyXaTuk2LqBP065GB3.jpg,1,1,1,1,1,0,0,0,1,1,15.0,28.389,51.543,81.596
fallen_person_20260805_203551_045098_jpg.rf.prhB6Lm6vZCHfbY4trMH.jpg,1,1,1,1,0,0,1,0,1,1,12.0,28.239,41.837,71.558
fallen_person_20260805_203554_690017_jpg.rf.mhaplcZcHkNWsUoV4xZA.jpg,1,1,0,0,0,0,0,0,1,1,0.0,31.178,37.03,69.443
fallen_person_20260805_203557_332999_jpg.rf.tEyGSoPF0rhfDJUM3jOs.jpg,1,1,0,0,0,0,0,0,1,1,0.0,29.485,24.746,55.498
fallen_person_20260805_204031_240255_jpg.rf.PXBWroHm3xAbl9pjHafj.jpg,1,1,1,1,0,0,1,0,1,1,13.0,28.771,25.726,56.125
fallen_person_20260805_204039_653320_jpg.rf.ym8kDoNbiZfnflWBwfiG.jpg,1,1,0,0,0,0,0,0,1,1,0.0,28.136,25.836,55.242
fallen_person_20260805_204152_273118_jpg.rf.0KsCzai1C1ESKZ0uNCmD.jpg,1,1,1,1,0,0,1,0,1,1,14.0,27.273,46.46,75.415
fallen_person_20260805_204155_238879_jpg.rf.lccBeUweTY3LvUb2d6wk.jpg,1,0,0,0,0,0,0,0,0,0,0.0,53.763,0.0,53.922
fallen_person_20260805_204158_202194_jpg.rf.6sIYxZXgxrCIGV5uLukq.jpg,1,1,0,0,0,0,0,0,1,1,0.0,32.349,29.706,63.206
fallen_person_20260805_204230_245823_jpg.rf.Zf4TN7kZ6UcVU7iXs7cv.jpg,1,1,0,0,0,0,0,0,1,1,0.0,35.297,49.242,86.034
fallen_person_20260805_204233_248003_jpg.rf.wBYgFFyM1TgkUX91ublp.jpg,1,1,1,1,0,1,0,0,1,1,12.0,32.647,56.568,90.808
fallen_person_20260805_204237_497012_jpg.rf.xTlk6eGhgLGI08OB96L2.jpg,1,1,1,1,0,0,1,0,1,1,15.0,28.947,31.114,61.806
fallen_person_20260805_212311_860302_jpg.rf.pJ03LQNrmhYdmYzmNA4q.jpg,1,1,0,0,0,0,0,0,1,1,0.0,28.828,45.151,75.181
fallen_person_20260805_212314_008527_jpg.rf.X5smbhiKJr4iWqkiTQgh.jpg,1,1,1,1,0,1,0,0,1,1,14.0,29.119,43.119,73.923
fallen_person_20260805_212501_995049_jpg.rf.RqThHaAV96cvYVNibHUC.jpg,1,1,1,1,0,1,0,0,1,1,13.0,29.417,43.239,74.36
fallen_person_20260805_212504_779831_jpg.rf.NmDw3Avth8OpmejcstMI.jpg,1,1,1,1,0,0,1,0,1,1,15.0,30.715,34.885,67.238
fallen_person_20260805_212507_426452_jpg.rf.GettqFsNuyyYOAuKfvj8.jpg,1,1,1,1,1,0,0,0,1,1,15.0,28.895,36.993,67.513
fallen_person_20260805_212712_286745_jpg.rf.5p93gDRedAG55iLUPXQt.jpg,1,1,1,1,0,1,0,0,1,1,16.0,28.989,45.201,75.812
fallen_person_20260805_212715_006783_jpg.rf.qbBswK3tMKX20nDRIrVI.jpg,1,1,1,1,0,0,1,0,1,1,15.0,28.582,35.253,65.487
fallen_person_20260805_212717_316807_jpg.rf.HRGLNylJPj6xXSOCGWHg.jpg,1,1,0,0,0,0,0,0,1,1,0.0,30.613,50.692,82.541
fallen_person_20260805_212732_786810_jpg.rf.igCLPNdlnemthNrRBOxD.jpg,1,1,0,0,0,0,0,0,1,1,0.0,27.245,42.928,71.374
fallen_person_20260805_212735_938341_jpg.rf.yizxxbps8sfBJexObP5l.jpg,1,1,0,0,0,0,0,0,1,1,0.0,28.007,31.908,61.164
fallen_person_20260805_212739_931825_jpg.rf.w53F9Xx9YU4IAlzgbVTT.jpg,1,1,0,0,0,0,0,0,1,1,0.0,44.432,55.739,101.456
fallen_person_20260805_212802_941723_jpg.rf.eqPdIWXSzRIzCMtUjZs0.jpg,1,1,0,0,0,0,0,0,1,1,0.0,29.138,39.772,70.143
fallen_person_20260805_212805_289609_jpg.rf.BIVxUYS2mrUXb1BqFnmL.jpg,1,1,0,0,0,0,0,0,1,1,0.0,57.199,41.517,99.94
fallen_person_20260805_212807_973648_jpg.rf.iuwZi9dnc1vuGCp79zRp.jpg,1,1,1,1,1,0,0,0,0,0,17.0,31.187,54.881,87.782
fallen_person_20260805_212950_596588_jpg.rf.B69GqWmbO7MvB4ruQuFg.jpg,1,1,1,1,0,1,0,0,0,0,12.0,30.03,49.834,81.501
fallen_person_20260805_212952_739930_jpg.rf.cxVxBM22KkvTqCXeT5PA.jpg,1,1,1,1,0,1,0,0,1,1,13.0,30.402,38.148,70.183
helper_rc_car_20260805_204457_686325_jpg.rf.LuQxKBfrdqAceBXoBuX9.jpg,1,1,0,0,0,0,0,0,1,1,0.0,30.649,31.304,63.307
helper_rc_car_20260805_204459_648120_jpg.rf.ydnHo2vh4os1Dd7UCSfl.jpg,1,1,0,0,0,0,0,0,1,1,0.0,30.565,30.386,62.176
helper_rc_car_20260805_204642_785767_jpg.rf.XAGeITESLqE9udbqc547.jpg,1,1,1,1,1,0,0,0,1,1,16.0,30.958,40.48,73.059
helper_rc_car_20260805_213110_602651_jpg.rf.jr5CR0ZMImigNMSoNdtO.jpg,1,1,0,0,0,0,0,0,0,0,0.0,33.885,50.103,85.263
helper_rc_car_20260805_213111_741964_jpg.rf.GYW3RCHTk2VmqaXYWowI.jpg,1,1,0,0,0,0,0,0,1,1,0.0,32.098,33.551,66.87
helper_rc_car_20260805_213154_917999_jpg.rf.LV0vovh6A7X2zDuGwphB.jpg,1,1,1,1,1,0,0,0,0,0,14.0,30.732,42.596,74.987
helper_rc_car_20260805_213159_146094_jpg.rf.2xzO4wcTg05o9ge7yNBf.jpg,1,1,1,1,0,1,0,0,1,1,13.0,28.763,37.549,67.977
